"","EDUC","CLASS","WRKSTAT","MARITAL","AGE","CHILDS","SEX","RELTRAD","ATTEND","RELPERSN","RELACTIV","SOCREL","SOCOMMUN","SOCFREND","SOCBAR","INTRNETUSE","INTPRFSSNL","UNPLUG","INTHOME","INTPUB","INTSKILL","INTSURF","INTLITERACY","INTAPPS","INTCOMM","INTSHARE","INTSEARCH","INTGAME","INTSTREAM","INTFNCL","INTMEET","INTLNLY","INTVIEWS","INTRUST","TRPPL","RACECEN1.mod"
"150",9,1,4,5,58,2,2,2,3,3,4,1,5,6,6,3,1,6,1,3,4,4,5,5,3,5,4,5,3,3,4,5,5,4,3,1
"151",15,3,2,1,42,3,2,4,0,4,1,3,3,5,7,1,1,2,2,5,2,2,1,2,2,2,2,5,2,2,4,4,6,0,10,1
"152",13,2,1,3,39,1,1,7,0,4,1,3,7,3,3,2,1,4,2,3,1,1,1,1,2,2,2,4,1,1,4,5,2,5,4,1
"153",13,2,1,5,49,1,2,4,2,3,3,6,5,3,6,2,1,6,1,3,3,3,1,2,3,2,1,1,2,1,5,1,6,4,0,1
"154",12,2,7,5,24,0,1,7,1,4,1,1,6,4,7,1,2,5,1,3,1,2,1,1,1,4,1,1,1,2,2,1,5,3,0,1
"155",13,2,1,1,32,0,2,7,0,4,1,5,7,7,4,2,1,2,1,1,1,1,1,1,1,1,1,4,1,1,3,3,5,5,4,5
"156",9,2,1,1,42,2,2,1,8,1,3,3,2,3,7,4,5,2,1,5,2,2,2,3,4,5,3,5,1,3,4,4,6,0,5,6
"157",8,3,5,1,74,2,2,4,4,2,3,3,4,4,5,2,6,3,2,4,3,3,2,2,3,2,2,5,2,2,4,3,3,2,8,4
"158",16,4,1,1,28,1,1,2,8,1,10,3,6,3,7,2,2,1,2,3,2,1,1,2,1,1,1,2,1,1,3,2,4,7,3,1
"159",14,2,1,3,35,0,1,7,0,4,1,4,7,5,5,2,2,6,1,3,2,2,2,2,1,5,1,1,1,1,4,4,6,4,7,1
"160",10,3,5,2,78,4,2,4,1,1,2,4,6,5,2,2,5,2,1,3,3,3,1,4,2,4,4,2,5,2,5,2,6,0,0,1
"161",12,4,5,1,67,2,1,4,3,2,3,4,2,4,5,2,6,3,1,3,2,2,2,2,2,3,2,5,3,2,4,4,5,6,6,1
"162",16,4,1,5,33,0,2,7,0,4,1,4,3,3,4,1,1,5,1,2,1,1,1,1,1,3,1,5,1,1,4,2,6,3,2,1
"163",16,2,1,5,24,0,2,2,6,2,3,4,1,4,7,2,3,3,1,3,1,1,1,3,1,2,3,5,1,3,5,4,4,3,7,1
"164",14,2,2,1,60,3,1,7,0,4,1,4,6,5,4,2,3,5,2,4,1,2,3,3,3,4,2,3,3,3,3,5,6,2,6,1
"165",16,3,7,1,49,4,2,4,0,3,1,3,3,3,4,1,1,4,1,1,1,1,1,1,2,1,1,4,1,1,5,5,4,6,7,1
"166",16,3,1,4,64,1,2,4,3,3,3,2,4,2,4,2,2,2,2,3,1,1,1,1,1,3,1,5,3,1,5,5,4,5,10,1
